name,yahoo,sector
ASK Automotive,ASKAUTOLTD.NS,Automobile and Auto Components
AXISCADES Technologies,AXISCADES.NS,Capital Goods
Aarti Drugs,AARTIDRUGS.NS,Healthcare
Aarti Pharmalabs,AARTIPHARM.NS,Healthcare
Aditya Vision,AVL.NS,Consumer Services
Advanced Enzyme Tech,ADVENZYMES.NS,Healthcare
Aequs,AEQUS.NS,Capital Goods
Aether Industries,AETHER.NS,Chemicals
Ahluwalia Contracts (India),AHLUCONT.NS,Construction
Akums Drugs and Pharmaceuticals,AKUMS.NS,Healthcare
Alembic Pharmaceuticals,APLLTD.NS,Healthcare
Alivus Life Sciences,ALIVUS.NS,Healthcare
Alkyl Amines Chemicals,ALKYLAMINE.NS,Chemicals
Alok Industries,ALOKINDS.NS,Textiles
Apollo Micro Systems,APOLLO.NS,Capital Goods
Archean Chemical Industries,ACI.NS,Chemicals
Arvind Fashions,ARVINDFASN.NS,Consumer Services
Arvind,ARVIND.NS,Textiles
Ashapura Minechem,ASHAPURMIN.NS,Metals & Mining
Ashoka Buildcon,ASHOKA.NS,Construction
Astra Microwave Products,ASTRAMICRO.NS,Capital Goods
Aurionpro Solution,AURIONPRO.NS,Information Technology
Avalon Technologies,AVALON.NS,Capital Goods
Avanti Feeds,AVANTIFEED.NS,Fast Moving Consumer Goods
AvenuesAI,CCAVENUE.NS,Financial Services
Awfis Space Solutions,AWFIS.NS,Services
Azad Engineering,AZAD.NS,Capital Goods
Bajaj Electricals,BAJAJELEC.NS,Consumer Durables
Balaji Amines,BALAMINES.NS,Chemicals
Balu Forge Industries,BALUFORGE.NS,Capital Goods
Banco Products (India),BANCOINDIA.NS,Automobile and Auto Components
Birla Corporation,BIRLACORPN.NS,Construction Materials
Black Box,BBOX.NS,Information Technology
Blackbuck,BLACKBUCK.NS,Services
BlueStone Jewellery and Lifestyle,BLUESTONE.NS,Consumer Durables
Borosil Renewables,BORORENEW.NS,Capital Goods
CMS Info Systems,CMSINFO.NS,Services
CORONA Remedies,CORONA.NS,Healthcare
CSB Bank,CSBBANK.NS,Financial Services
Campus Activewear,CAMPUS.NS,Consumer Durables
Canara Robeco Asset Management Company,CRAMC.NS,Financial Services
Capillary Technologies India,CAPILLARY.NS,Information Technology
Cello World,CELLO.NS,Consumer Durables
Century Plyboards (India),CENTURYPLY.NS,Consumer Durables
Cera Sanitaryware,CERA.NS,Consumer Durables
Crizac,CRIZAC.NS,Consumer Services
Cupid,CUPID.NS,Fast Moving Consumer Goods
DCB Bank,DCBBANK.NS,Financial Services
Datamatics Global Services,DATAMATICS.NS,Information Technology
Diamond Power Infrastructure,DIACABS.NS,Capital Goods
Dilip Buildcon,DBL.NS,Construction
Dr. Agarwal's Health Care,AGARWALEYE.NS,Healthcare
Dummy Allcargo Logistics,DUMMYALCAR.NS,Services
Dynamatic Technologies,DYNAMATECH.NS,Capital Goods
EPL,EPL.NS,Capital Goods
Edelweiss Financial Services,EDELWEISS.NS,Financial Services
Electronics Mart India,EMIL.NS,Consumer Services
Electrosteel Castings,ELECTCAST.NS,Capital Goods
Ellenbarrie Industrial Gases,ELLEN.NS,Chemicals
Embassy Developments,EMBDL.NS,Realty
Entero Healthcare Solutions,ENTERO.NS,Consumer Services
Enviro Infra Engineers,EIEL.NS,Utilities
Equitas Small Finance Bank,EQUITASBNK.NS,Financial Services
Ethos,ETHOSLTD.NS,Consumer Durables
Eureka Forbes,EUREKAFORB.NS,Consumer Durables
Fedbank Financial Services,FEDFINA.NS,Financial Services
Fiem Industries,FIEMIND.NS,Automobile and Auto Components
Finolex Industries,FINPIPE.NS,Capital Goods
GHCL,GHCL.NS,Chemicals
GMM Pfaudler,GMMPFAUDLR.NS,Capital Goods
GMR Power and Urban Infra,GMRP&UI.NS,Power
Garware Hi-Tech Films,GRWRHITECH.NS,Capital Goods
Godrej Agrovet,GODREJAGRO.NS,Fast Moving Consumer Goods
Gokaldas Exports,GOKEX.NS,Textiles
Gokul Agro Resources,GOKULAGRO.NS,Fast Moving Consumer Goods
Greaves Cotton,GREAVESCOT.NS,Capital Goods
Gujarat Ambuja Exports,GAEL.NS,Fast Moving Consumer Goods
Gujarat Narmada Valley Fertilizers and Chemicals,GNFC.NS,Chemicals
Gujarat Pipavav Port,GPPL.NS,Services
Gujarat State Fertilizers & Chemicals,GSFC.NS,Chemicals
H.G. Infra Engineering,HGINFRA.NS,Construction
Happiest Minds Technologies,HAPPSTMNDS.NS,Information Technology
Healthcare Global Enterprises,HCG.NS,Healthcare
Hemisphere Properties India,HEMIPROP.NS,Services
Heritage Foods,HERITGFOOD.NS,Fast Moving Consumer Goods
Hindustan Construction Co.,HCC.NS,Construction
IFB Industries,IFBIND.NS,Consumer Durables
IIFL Capital Services,IIFLCAPS.NS,Financial Services
INOX India,INOXINDIA.NS,Capital Goods
India Glycols,INDIAGLYCO.NS,Fast Moving Consumer Goods
India Shelter Finance Corporation,INDIASHLTR.NS,Financial Services
Indian Metals & Ferro Alloys,IMFA.NS,Metals & Mining
Indigo Paints,INDIGOPNTS.NS,Consumer Durables
Indo Count Industries,ICIL.NS,Textiles
Inox Green Energy Services,INOXGREEN.NS,Services
Ion Exchange (India),IONEXCHANG.NS,Utilities
JK Lakshmi Cement,JKLAKSHMI.NS,Construction Materials
JK Paper,JKPAPER.NS,Forest Materials
Jamna Auto Industries,JAMNAAUTO.NS,Automobile and Auto Components
Jana Small Finance Bank,JSFB.NS,Financial Services
Jayaswal Neco Industries,JAYNECOIND.NS,Capital Goods
Jeena Sikho Lifecare,JSLL.NS,Consumer Services
Jupiter Life Line Hospitals,JLHL.NS,Healthcare
Justdial,JUSTDIAL.NS,Consumer Services
Jyothy Labs,JYOTHYLAB.NS,Fast Moving Consumer Goods
