name,yahoo,sector,universe
ASK Automotive,ASKAUTOLTD.NS,Automobile and Auto Components,microcap250
AXISCADES Technologies,AXISCADES.NS,Capital Goods,microcap250
Aarti Drugs,AARTIDRUGS.NS,Healthcare,microcap250
Aarti Pharmalabs,AARTIPHARM.NS,Healthcare,microcap250
Aditya Vision,AVL.NS,Consumer Services,microcap250
Advanced Enzyme Tech,ADVENZYMES.NS,Healthcare,microcap250
Aequs,AEQUS.NS,Capital Goods,microcap250
Aether Industries,AETHER.NS,Chemicals,microcap250
Ahluwalia Contracts (India),AHLUCONT.NS,Construction,microcap250
Akums Drugs and Pharmaceuticals,AKUMS.NS,Healthcare,microcap250
Alembic Pharmaceuticals,APLLTD.NS,Healthcare,microcap250
Alivus Life Sciences,ALIVUS.NS,Healthcare,microcap250
Alkyl Amines Chemicals,ALKYLAMINE.NS,Chemicals,microcap250
Alok Industries,ALOKINDS.NS,Textiles,microcap250
Apollo Micro Systems,APOLLO.NS,Capital Goods,microcap250
Archean Chemical Industries,ACI.NS,Chemicals,microcap250
Arvind Fashions,ARVINDFASN.NS,Consumer Services,microcap250
Arvind,ARVIND.NS,Textiles,microcap250
Ashapura Minechem,ASHAPURMIN.NS,Metals & Mining,microcap250
Ashoka Buildcon,ASHOKA.NS,Construction,microcap250
Astra Microwave Products,ASTRAMICRO.NS,Capital Goods,microcap250
Atlanta Electricals,ATLANTAELE.NS,Capital Goods,microcap250
Aurionpro Solution,AURIONPRO.NS,Information Technology,microcap250
Avalon Technologies,AVALON.NS,Capital Goods,microcap250
Avanti Feeds,AVANTIFEED.NS,Fast Moving Consumer Goods,microcap250
AvenuesAI,CCAVENUE.NS,Financial Services,microcap250
Awfis Space Solutions,AWFIS.NS,Services,microcap250
Azad Engineering,AZAD.NS,Capital Goods,microcap250
Bajaj Electricals,BAJAJELEC.NS,Consumer Durables,microcap250
Balaji Amines,BALAMINES.NS,Chemicals,microcap250
Balu Forge Industries,BALUFORGE.NS,Capital Goods,microcap250
Banco Products (India),BANCOINDIA.NS,Automobile and Auto Components,microcap250
Birla Corporation,BIRLACORPN.NS,Construction Materials,microcap250
Black Box,BBOX.NS,Information Technology,microcap250
Blackbuck,BLACKBUCK.NS,Services,microcap250
BlueStone Jewellery and Lifestyle,BLUESTONE.NS,Consumer Durables,microcap250
Borosil Renewables,BORORENEW.NS,Capital Goods,microcap250
CMS Info Systems,CMSINFO.NS,Services,microcap250
CORONA Remedies,CORONA.NS,Healthcare,microcap250
CSB Bank,CSBBANK.NS,Financial Services,microcap250
Campus Activewear,CAMPUS.NS,Consumer Durables,microcap250
Canara Robeco Asset Management Company,CRAMC.NS,Financial Services,microcap250
Capillary Technologies India,CAPILLARY.NS,Information Technology,microcap250
Cello World,CELLO.NS,Consumer Durables,microcap250
Century Plyboards (India),CENTURYPLY.NS,Consumer Durables,microcap250
Cera Sanitaryware,CERA.NS,Consumer Durables,microcap250
Crizac,CRIZAC.NS,Consumer Services,microcap250
Cupid,CUPID.NS,Fast Moving Consumer Goods,microcap250
DCB Bank,DCBBANK.NS,Financial Services,microcap250
Datamatics Global Services,DATAMATICS.NS,Information Technology,microcap250
Diamond Power Infrastructure,DIACABS.NS,Capital Goods,microcap250
Dilip Buildcon,DBL.NS,Construction,microcap250
